Lote,Plaga,Larvas,E. Plagas,X,Y,Z
B43a,Opsiphanes cassina,0,EP19B43a,-90.43305103,16.19745003,136.76001
B43a,Opsiphanes cassina,0,EP20B43a,-90.43305002,16.19842996,136.807816
B43a,Opsiphanes cassina,0,EP21B43a,-90.43217503,16.19696598,135.933151
B43a,Opsiphanes cassina,0,EP22B43a,-90.43217202,16.19794004,135.767593
B43a,Opsiphanes cassina,0,EP23B43a,-90.43218199,16.19885802,132.657181
C20c,Opsiphanes cassina,0,EP1C20c,-90.42339499,16.25751902,124.901527
C20c,Opsiphanes cassina,0,EP2C20c,-90.42256401,16.257342,124.560936
C20c,Opsiphanes cassina,0,EP3C20c,-90.42258203,16.25809897,123.962074
C20c,Opsiphanes cassina,0,EP4C20c,-90.42172297,16.25761298,123.605499
C20c,Opsiphanes cassina,0,EP5C20c,-90.42082803,16.25802202,122.427284
C20c,Opsiphanes cassina,0,EP6C20c,-90.41998498,16.25760301,119.143219
C20c,Opsiphanes cassina,0,EP7C20c,-90.419082,16.25810903,118.97673
C20c,Opsiphanes cassina,0,EP8C20c,-90.41813903,16.25760402,116.470184
C21b,Opsiphanes cassina,0,EP1C21b,-90.42490499,16.25487604,127.170456
C21b,Opsiphanes cassina,0,EP2C21b,-90.42492502,16.25577701,126.037529
C21b,Opsiphanes cassina,0,EP3C21b,-90.42408398,16.25525398,126.235146
C21b,Opsiphanes cassina,0,EP4C21b,-90.42408901,16.25623399,126.691887
C21b,Opsiphanes cassina,0,EP5C21b,-90.423253,16.25487101,126.626068
C21b,Opsiphanes cassina,1,EP6C21b,-90.42327798,16.255789,127.074738
C21b,Opsiphanes cassina,0,EP7C21b,-90.42327404,16.25672702,127.448532
C21c,Opsiphanes cassina,0,EP1C21c,-90.422491,16.25492902,147.82016
C21c,Opsiphanes cassina,0,EP2C21c,-90.42247399,16.25589101,148.321701
C21c,Opsiphanes cassina,0,EP3C21c,-90.42249201,16.256897,145.185791
C21c,Opsiphanes cassina,0,EP4C21c,-90.42159397,16.25542003,147.220886
C21c,Opsiphanes cassina,0,EP5C21c,-90.42160001,16.25641496,146.769608
C21c,Opsiphanes cassina,0,EP6C21c,-90.42073801,16.25492801,139.508408
C21c,Opsiphanes cassina,0,EP7C21c,-90.42073701,16.255976,138.99826
C21c,Opsiphanes cassina,0,EP8C21c,-90.42073902,16.25694897,139.655792
C21c,Opsiphanes cassina,0,EP9C21c,-90.41986001,16.25539103,141.429092
C21c,Opsiphanes cassina,0,EP10C21c,-90.41986001,16.25639602,141.28833
C21c,Opsiphanes cassina,0,EP11C21c,-90.418996,16.25493304,143.865234
